
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 121.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 147.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 106.Queue.NumberInQueue                .05415     (Insuf)    .00000     1.0000     .00000    
Process 34.Queue.NumberInQueue              8.6348     (Corr)     .00000     66.000     .00000    
Batch 25.Queue.NumberInQueue                13.528     (Insuf)    .00000     212.00     .00000    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Batch 33.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 84.Queue.NumberInQueue                 .29146     (Corr)     .00000     1.0000     .00000    
Hold 134.Queue.NumberInQueue                4.7362     (Insuf)    .00000     29.000     .00000    
Hold 119.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 92.Queue.NumberInQueue                 .10461     (Insuf)    .00000     1.0000     .00000    
Hold 51.Queue.NumberInQueue                 .54706     (Insuf)    .00000     1.0000     1.0000    
Hold 142.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 101.Queue.NumberInQueue                .01086     (Insuf)    .00000     1.0000     .00000    
Batch 20.Queue.NumberInQueue                27.489     (Corr)     .00000     268.00     .00000    
Hold 150.Queue.NumberInQueue                .01549     (Insuf)    .00000     1.0000     .00000    
