SIMAN Run Controller.

0.00016666667 Hours>SIMAN Run Controller.

0.26683333 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 0.26683333 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Batch 11.Queue.NumberInQueue                .56215     (Insuf)    .00000     3.0000     .00000    
Hold 138.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 55.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 105.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 33.Queue.NumberInQueue              1.3741     (Insuf)    .00000     5.0000     4.0000    
Batch 24.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 113.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 83.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 118.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 50.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
Hold 141.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 100.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 12.Queue.NumberInQueue                .43723     (Insuf)    .00000     3.0000     1.0000    
Hold 63.Queue.NumberInQueue                 5.0000     (Insuf)    .00000     5.0000     5.0000    
Hold 48.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
Hold 139.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 17.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 121.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 106.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 34.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 25.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 84.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 134.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 119.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 92.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 51.Queue.NumberInQueue                 .92505     (Insuf)    .00000     1.0000     1.0000    
Hold 142.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 101.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 20.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 56.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 114.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 27.Queue.NumberInQueue              .37539     (Insuf)    .00000     1.0000     1.0000    
Batch 18.Queue.NumberInQueue                .62461     (Insuf)    .00000     4.0000     4.0000    
Hold 31.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 122.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 26.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 6.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 135.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 22.Queue.NumberInQueue              42.375     (Insuf)    .00000     57.000     53.000    
Batch 13.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 143.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 102.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 49.Queue.NumberInQueue                 .92505     (Insuf)    .00000     1.0000     1.0000    
Batch 21.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 98.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 57.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 107.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 115.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 28.Queue.NumberInQueue              .62461     (Insuf)    .00000     1.0000     .00000    
Match 6.Queue1.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Match 6.Queue2.NumberInQueue                7.4803     (Insuf)    .00000     25.000     .00000    
Match 6.Queue3.NumberInQueue                13.402     (Insuf)    .00000     43.000     .00000    
Batch 19.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 123.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 93.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 52.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           711.00    
Entity 1.NumberOut                          4.0000    
Entity 2.NumberIn                           .00000    
Entity 2.NumberOut                          .00000    
Mezcladora1.NumberSeized                    5.0000    
Mezcladora1.ScheduledUtilization            .81199    
Mezcladora2.NumberSeized                    5.0000    
Mezcladora2.ScheduledUtilization            .81199    
Balanza1.NumberSeized                       6.0000    
Balanza1.ScheduledUtilization               .99938    
balanza2.NumberSeized                       6.0000    
balanza2.ScheduledUtilization               .99938    
Resource 3.NumberSeized                     .00000    
InspeccionF.NumberSeized                    .00000    
InspeccionF.ScheduledUtilization            .00000    
InspeccionQ.NumberSeized                    .00000    
InspeccionQ.ScheduledUtilization            .00000    
Pellet 16.NumberSeized                      3.0000    
Pellet 16.ScheduledUtilization              .62461    
Pellet 17.NumberSeized                      3.0000    
Pellet 17.ScheduledUtilization              .62461    
Llenado.NumberSeized                        .00000    
Llenado.ScheduledUtilization                .00000    
Molino1.NumberSeized                        4.0000    
Molino1.ScheduledUtilization                1.0000    
Molino2.NumberSeized                        2.0000    
Molino3.NumberSeized                        4.0000    
Molino3.ScheduledUtilization                1.0000    
Pellet 67.NumberSeized                      .00000    
Pellet 67.ScheduledUtilization              .00000    
System.NumberOut                            .00000    


Simulation run time: 1.05 minutes.
Simulation run complete.
