SIMAN Run Controller.

2399.2667 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/28/2016
Analyst: Rockwell Automation                                         Model revision date:10/28/2016

Replication ended at time      : 2399.2667 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Mezcladora1.NumberSeized                    55.000    
Mezcladora1.ScheduledUtilization            .00202    
Mezcladora2.NumberSeized                    69.000    
Mezcladora2.ScheduledUtilization            .00274    
Balanza1.NumberSeized                       55.000    
Balanza1.ScheduledUtilization               .00192    
balanza2.NumberSeized                       69.000    
balanza2.ScheduledUtilization               .00274    
Resource 3.NumberSeized                     .00000    
Pellet 16.NumberSeized                      79.000    
Pellet 16.ScheduledUtilization              .00274    
Pellet 17.NumberSeized                      91.000    
Pellet 17.ScheduledUtilization              .00316    
Molino1.NumberSeized                        73.000    
Molino1.ScheduledUtilization                .00254    
Molino2.NumberSeized                        48.000    
Molino3.NumberSeized                        55.000    
Molino3.ScheduledUtilization                .00191    
Pellet 67.NumberSeized                      66.000    
Pellet 67.ScheduledUtilization              .00229    
System.NumberOut                            9556.0    


Simulation run time: 1.05 minutes.
Simulation run complete.
